RAZA,SEXO,intercepto,coef_0,coef_1,coef_2,coef_3,coef_4,r2
COBB,HEMBRA,50.65876934237925,0.8959005063719868,-9.889993846911197e-05,1.1561000822614685e-08,-6.204467220535315e-13,0.9999566235965224
COBB,MACHO,47.91739455432792,0.931939835690827,-9.390565175168668e-05,1.0140212163235337e-08,-4.973114264271312e-13,0.9999652978016147
COBB,MIXTO,49.55187342078196,0.9138370670457174,-9.594665208517577e-05,1.0733201847607789e-08,-5.489461202675717e-13,0.999962632554831
HUBBARD,HEMBRA,67.62109739119681,0.9181154667257378,-0.00012417360335178758,1.4367850598004445e-08,-6.946462679519364e-13,0.9999737480464638
HUBBARD,MACHO,59.15127400142381,0.9561287042275111,-9.074683261581579e-05,9.194123783334193e-09,-4.44104196263192e-13,0.9999921552233323
HUBBARD,MIXTO,63.248344436169305,0.9364347732360296,-0.00010695739202204743,1.1676311434357036e-08,-5.626035643764207e-13,0.9999895537643966
ROSS,HEMBRA,55.78444286927841,0.8146368817420178,-7.808758370645847e-05,6.459063158732734e-09,-2.4144825463317164e-13,0.999988196197273
ROSS,MACHO,64.1661076452961,0.7923487599430031,-5.6720149300678414e-05,3.7213882560947143e-09,-1.1339889715068409e-13,0.9999884201432132
ROSS,MIXTO,60.57393798668445,0.7989887388891181,-6.502280978004588e-05,4.7189448048985476e-09,-1.576393748840391e-13,0.9999884034387647
ROSS 308 AP,HEMBRA,57.26979886294903,0.9421102235250345,-0.00010987591484789652,1.1839010295084857e-08,-5.787378467080242e-13,0.9999953585310705
ROSS 308 AP,MACHO,65.55505551164933,0.9230898942358191,-8.630327819114639e-05,8.128318512952613e-09,-3.4868101052597084e-13,0.9999919737779472
ROSS 308 AP,MIXTO,61.72096772515328,0.931450145134999,-9.688096989319513e-05,9.75413963300343e-09,-4.4620137995589774e-13,0.999993676988618
